Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
6937,482230,Green Bay Packers,776,75,2,91.0903,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-07 15:05:00 UTC,TRUE,496,466,NA
6937,482226,Seattle Seahawks,745,72,3,91.0867,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:51:01 UTC,TRUE,476,458,NA
6937,482229,New England Patriots,699,137,3,83.5322,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:51:08 UTC,TRUE,454,496,NA
6937,482234,Indianapolis Colts,652,175,11,78.7696,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:50:47 UTC,TRUE,471,486,NA
6937,482228,Denver Broncos,655,199,10,76.6355,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:51:05 UTC,TRUE,513,483,NA
6937,482241,Pittsburgh Steelers,605,224,9,72.9242,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:50:52 UTC,TRUE,481,484,NA
6937,482250,Dallas Cowboys,601,223,5,72.8814,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:51:17 UTC,TRUE,481,466,NA
6937,482235,Baltimore Ravens,576,240,5,70.5379,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-07 15:04:56 UTC,TRUE,479,466,NA
6937,482244,Arizona Cardinals,531,299,10,63.9423,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-07 15:04:45 UTC,TRUE,449,514,NA
6937,482239,Kansas City Chiefs,494,356,9,58.0986,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-07 15:03:48 UTC,TRUE,532,467,NA
6937,482253,Miami Dolphins,478,347,9,57.9202,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:50:32 UTC,TRUE,430,510,NA
6937,482232,Philadelphia Eagles,509,372,4,57.7576,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:51:21 UTC,TRUE,508,509,NA
6937,482247,Minnesota Vikings,463,353,10,56.7237,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-07 15:04:53 UTC,TRUE,468,473,NA
6937,482237,San Diego Chargers,468,362,17,56.3702,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:50:40 UTC,TRUE,506,472,NA
6937,482240,Detroit Lions,406,374,6,52.046,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:50:40 UTC,TRUE,447,457,NA
6937,482251,Houston Texans,424,413,7,50.6555,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-07 15:04:53 UTC,TRUE,511,457,NA
6937,482236,Carolina Panthers,404,397,8,50.4359,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:51:17 UTC,TRUE,453,486,NA
6937,482374,Why bother.  These were 2 dog teams last year.,0,0,0,50.0,TRUE,4487187,2015-08-14 03:50:56 UTC,2015-08-14 03:50:56 UTC,FALSE,0,0,NA
6937,482238,Cincinnati Bengals,393,403,9,49.3734,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:50:57 UTC,TRUE,470,469,NA
6937,482254,Buffalo Bills,411,437,6,48.4706,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:50:57 UTC,TRUE,456,518,NA
6937,482243,Atlanta Falcons,341,433,8,44.0722,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:51:01 UTC,TRUE,449,458,NA
6937,482231,New Orleans Saints,345,462,7,42.7689,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-07 15:04:56 UTC,TRUE,465,466,NA
6937,482245,St Louis Rams,355,490,13,42.0307,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:50:36 UTC,TRUE,494,506,NA
6937,482242,New York Giants,345,509,8,40.4206,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:51:11 UTC,TRUE,531,465,NA
6937,482227,San Francisco 49ers,262,596,8,30.5814,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-07 15:04:03 UTC,TRUE,483,516,NA
6937,482233,Chicago Bears,230,567,6,28.9111,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-07 15:04:47 UTC,TRUE,468,444,NA
6937,482249,New York Jets,226,586,14,27.887,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:51:11 UTC,TRUE,486,443,NA
6937,482255,Oakland Raiders,182,642,11,22.155,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:50:43 UTC,TRUE,459,491,NA
6937,482252,Cleveland Browns,167,657,11,20.339,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-07 15:04:30 UTC,TRUE,463,497,NA
6937,482248,Tampa Bay Buccaneers,145,643,16,18.481,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-07 13:46:44 UTC,TRUE,452,486,NA
6937,482257,Tennessee Titans,150,710,11,17.5174,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:50:52 UTC,TRUE,518,463,NA
6937,482246,Washington [redacted],116,730,10,13.7972,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-07 13:45:53 UTC,TRUE,515,455,NA
6937,482256,Jacksonville Jaguars,78,749,12,9.52955,FALSE,4484556,2015-08-11 12:02:08 UTC,2015-09-08 05:51:21 UTC,TRUE,461,498,NA
